更新日期,#genre#
2025-11-19,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4
🍎┃广东频道,#genre#
广州综合,http://n1.gzbody.com:85/rtp/239.253.43.71:5146$IPV4•线路1
广州综合,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8$IPV4•线路2
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=82c6bfd1d14bdd5cefbeb40aae404dd5&txTime=194d0c43cd6$IPV4•线路3
广州综合,http://14.117.233.31:8688/rtp/239.253.43.71:5146$IPV4•线路4
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路5
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8$IPV4•线路6
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路7
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$IPV4•线路8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701$IPV4•线路9
广州综合,http://113.95.142.43:4022/rtp/239.253.43.71:5146$IPV4•线路10
广州综合,http://113.101.245.14:9988/rtp/239.253.43.71:5146$IPV4•线路11
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路12
广州综合,http://r.jdshipin.com/snhya$IPV4•线路13
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路14
广州新闻,http://n1.gzbody.com:85/rtp/239.253.43.72:5146$IPV4•线路1
广州新闻,https://tencentplaybusiness.gztv.com/live/xinwen.m3u8$IPV4•线路2
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=c8ffc2c11f17d87d365f3b29bf8ef7fa&txTime=18f3392b07f$IPV4•线路3
广州新闻,http://14.117.233.31:8688/rtp/239.253.43.72:5146$IPV4•线路4
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路5
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8$IPV4•线路6
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路7
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路8
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019$IPV4•线路9
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路10
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路11
广东珠江,http://106.53.99.30/tv/push.php?id=gdzj$IPV4•线路1
广东珠江,http://163.142.186.56:9901/tsfile/live/1018_1.m3u8?$IPV4•线路2
广东珠江,http://n1.gzbody.com:85/rtp/239.77.0.1:5146$IPV4•线路3
广东珠江,http://n1.gzbody.com:85/rtp/239.77.0.114:5146$IPV4•线路4
广东珠江,http://n1.gzbody.com:85/rtp/239.77.1.94:5146$IPV4•线路5
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj$IPV4•线路6
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路7
广东珠江,http://113.87.224.75:8086/hls/47/index.m3u8$IPV4•线路8
广东珠江,http://8.134.252.79:2222/rtp/239.10.0.121:1025$IPV4•线路9
广东珠江,http://8.134.252.79:2222/rtp/239.20.0.111:2020$IPV4•线路10
广东珠江,http://kkk.888.3116598.xyz/api.php?n=liujiahui&id=VXYNkl&tk=bknhp6JvJlqE$IPV4•线路11
广东珠江,http://113.64.146.99:9901/hls/36/index.m3u8$IPV4•线路12
广东珠江,http://113.64.146.99:9901/hls/64/index.m3u8$IPV4•线路13
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-20.m3u8$IPV4•线路14
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路15
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$IPV4•线路16
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路17
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路18
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路19
广东珠江,http://go.bkpcp.top/mg/gdzj$IPV4•线路20
广东珠江,https://smt.858.qzz.io/Smart.php?id=zhujiang$IPV4•线路21
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路1
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路2
广州电视台法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8$IPV4•线路1
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路2
广州南国都市频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4
4K南国都市频道,http://php.jdshipin.com:8880/gztv.php?id=shenghuo$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广东体育,http://106.53.99.30/tv/push.php?id=gdty$IPV4•线路1
广东体育,http://n1.gzbody.com:85/rtp/239.77.1.97:5146$IPV4•线路2
广东体育,http://n1.gzbody.com:85/rtp/239.77.0.112:5146$IPV4•线路3
广东体育,http://n1.gzbody.com:85/rtp/239.77.0.168:5146$IPV4•线路4
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty$IPV4•线路5
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路6
广东体育,http://8.134.252.79:2222/rtp/239.10.0.124:1025$IPV4•线路7
广东体育,http://8.134.252.79:2222/rtp/239.20.0.114:2026$IPV4•线路8
广东体育,http://kkk.888.3116598.xyz/api.php?n=liujiahui&id=EFT0s4&tk=bknhp6JvJlqE$IPV4•线路9
广东体育,http://113.64.146.99:9901/hls/39/index.m3u8$IPV4•线路10
广东体育,https://mg.345564.xyz/proxy.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=gdty$IPV4•线路11
广东体育,http://120.238.94.10:9901/tsfile/live/1012_1.m3u8$IPV4•线路12
广东体育,https://epg.pw/stream/7b470f9fc5c305db0c8622117b7b25ca00eb35ba3e93e865cf0ff9df5c736681.m3u8$IPV4•线路13
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路14
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路15
广东体育,http://183.57.249.188:8183/tsfile/live/1000_1.m3u8$IPV4•线路16
广东体育,http://go.bkpcp.top/mg/gdty$IPV4•线路17
广东民生,http://n1.gzbody.com:85/rtp/239.77.0.225:5146$IPV4•线路1
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路2
广东民生,http://8.134.252.79:2222/rtp/239.10.0.123:1025$IPV4•线路3
广东民生,http://8.134.252.79:2222/rtp/239.20.0.113:2024$IPV4•线路4
广东民生,http://kkk.888.3116598.xyz/api.php?n=liujiahui&id=tcaCFf&tk=bknhp6JvJlqE$IPV4•线路5
广东民生,http://120.238.94.82:9901/tsfile/live/1011_1.m3u8?key=txiptv$IPV4•线路6
广东民生,http://go.bkpcp.top/mg/gdms$IPV4•线路7
广东民生,http://113.95.142.43:4022/rtp/239.77.0.225:5146$IPV4•线路8
广东综艺,http://14.117.233.31:8688/rtp/239.77.1.237:5146$IPV4
广东影视,http://n1.gzbody.com:85/rtp/239.77.0.217:5146$IPV4•线路1
广东影视,http://8.138.7.223/tv/migu3.php?id=gdys$IPV4•线路2
广东影视,http://183.11.239.36:808/hls/6/index.m3u8$IPV4•线路3
广东影视,http://8.134.252.79:2222/rtp/239.10.0.127:1025$IPV4•线路4
广东影视,http://8.134.252.79:2222/rtp/239.20.0.117:2032$IPV4•线路5
广东影视,http://kkk.888.3116598.xyz/api.php?n=liujiahui&id=b3XDlC&tk=bknhp6JvJlqE$IPV4•线路6
广东影视,http://113.64.146.99:9901/hls/42/index.m3u8$IPV4•线路7
广东影视,http://183.57.249.188:8183/tsfile/live/1004_1.m3u8$IPV4•线路8
广东影视,http://go.bkpcp.top/mg/gdys$IPV4•线路9
经济科教,http://183.11.239.36:808/hls/4/index.m3u8$IPV4•线路1
经济科教,http://113.64.146.99:9901/hls/41/index.m3u8$IPV4•线路2
岭南戏曲,$IPV4•线路1
岭南戏曲,http://183.11.239.36:808/hls/16/index.m3u8$IPV4•线路2
岭南戏曲,http://113.64.146.99:9901/hls/47/index.m3u8$IPV4•线路3
现代教育,http://tvbox6.icu/tv/gdmzyd.php?id=102$IPV4•线路1
现代教育,http://113.64.146.99:9901/hls/49/index.m3u8$IPV4•线路2
大湾区卫视,http://n1.gzbody.com:85/rtp/239.77.0.215:5146$IPV4•线路1
大湾区卫视,http://n1.gzbody.com:85/rtp/239.77.1.12:5146$IPV4•线路2
大湾区卫视,http://8.138.7.223/tv/migu2.php?id=35$IPV4•线路3
大湾区卫视,http://8.138.7.223/tv/migu3.php?id=dwqws$IPV4•线路4
大湾区卫视,http://bailudz.top:1236/111/hahahaha.php?id=dwqws$IPV4•线路5
大湾区卫视,http://113.87.224.75:8086/hls/29/index.m3u8$IPV4•线路6
大湾区卫视,http://119.123.176.146:8086/hls/29/index.m3u8$IPV4•线路7
大湾区卫视,http://113.64.146.99:9901/hls/63/index.m3u8$IPV4•线路8
大湾区卫视,http://8.138.7.223/tv/gd.php?id=0008$IPV4•线路9
大湾区卫视,http://gslbmgsplive.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?msisdn=2025111816003715b68263d07e4182b1f6118d9a4e5996&mdspid=&spid=699054&netType=0&sid=2200322852&pid=2028597139&timestamp=20251118160037&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608917627&ParentNodeID=-99&assertID=2200322852&client_ip=106.13.250.90&SecurityKey=20251118160037&promotionId=&mvid=2200322852&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e4c7348bf880c3a1364a441118fdf9c3&ddCalcu=3ec4e9c1f78d30f4881b1f184840ac436a31$IPV4•线路10
大湾区卫视,http://14.117.233.31:8688/rtp/239.77.0.215:5146$IPV4•线路11
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws$IPV4•线路12
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路13
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路14
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路15
大湾区卫视,http://183.57.249.188:8183/tsfile/live/1002_1.m3u8$IPV4•线路16
大湾区卫视,http://go.bkpcp.top/mg/gddwq$IPV4•线路17
大湾区卫视,http://106.53.99.30/tv/migu.php?id=dwqws$IPV4•线路18
🥝┃央视频道,#genre#
CCTV1,http://106.53.99.30/tv/20250717.php?id=0001$IPV4•线路1
CCTV1,http://106.53.99.30/tv/jzb.php?id=cctv1$IPV4•线路2
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT$IPV4•线路3
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.86:5146$IPV4•线路4
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.14:5146$IPV4•线路5
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.119:5146$IPV4•线路6
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.129:5146$IPV4•线路7
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.17:5146$IPV4•线路8
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.144:5146$IPV4•线路9
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.76:5146$IPV4•线路10
CCTV1,http://n1.gzbody.com:85/rtp/239.77.0.30:5146$IPV4•线路11
CCTV1,http://8.138.7.223/tv/migu2.php?id=1$IPV4•线路12
CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1$IPV4•线路13
CCTV1,http://bailudz.top:1236/111/hahahaha.php?id=cctv1$IPV4•线路14
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=$IPV4•线路15
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=$IPV4•线路16
CCTV1,http://60.29.124.66:6080/hls/12/index.m3u8$IPV4•线路17
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$IPV4•线路18
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$IPV4•线路19
CCTV1,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226016/.m3u8$IPV4•线路20
CCTV1,http://123.182.60.29:9002/hls/1/index.m3u8$IPV4•线路21
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路22
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路23
CCTV1,http://58.17.48.228:808/hls/1/index.m3u8$IPV4•线路24
CCTV1,http://sc.rrs.169ol.com/PLTV/88888888/224/3221227479/index.m3u8$IPV4•线路25
CCTV1,http://117.69.43.137:4022/rtp/238.1.78.166:7200$IPV4•线路26
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.119:5146$IPV4•线路27
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.129:5146$IPV4•线路28
CCTV1,http://14.117.233.31:8688/rtp/239.77.0.86:5146$IPV4•线路29
